title,abbrev_title
Journal of biomedical semantics,J Biomed Semantics
Cardiovascular engineering and technology,Cardiovasc Eng Technol
"European annals of otorhinolaryngology, head and neck diseases",Eur Ann Otorhinolaryngol Head Neck Dis
Thoracic cancer,Thorac Cancer
Virulence,Virulence
Small GTPases,Small GTPases
Transcription,Transcription
Sexual & reproductive healthcare : official journal of the Swedish Association of Midwives,Sex Reprod Healthc
International journal for numerical methods in biomedical engineering,Int J Numer Method Biomed Eng
Journal of population therapeutics and clinical pharmacology = Journal de la thérapeutique des populations et de la pharmacologie clinique,J Popul Ther Clin Pharmacol
Science China. Life sciences,Sci China Life Sci
Molecular informatics,Mol Inform
"Cyberpsychology, behavior and social networking",Cyberpsychol Behav Soc Netw
Journal of physiotherapy,J Physiother
Female pelvic medicine & reconstructive surgery,Female Pelvic Med Reconstr Surg
International journal of orthopaedic and trauma nursing,Int J Orthop Trauma Nurs
Journal of hepato-biliary-pancreatic sciences,J Hepatobiliary Pancreat Sci
Nature communications,Nat Commun
World neurosurgery,World Neurosurg
Briefings in functional genomics,Brief Funct Genomics
Cellular reprogramming,Cell Reprogram
Journal of healthcare engineering,J Healthc Eng
Stem cell research & therapy,Stem Cell Res Ther
Clinical neuroradiology,Clin Neuroradiol
Journal of obesity,J Obes
The journal of physical chemistry letters,J Phys Chem Lett
"Clinical lymphoma, myeloma & leukemia",Clin Lymphoma Myeloma Leuk
ACS chemical neuroscience,ACS Chem Neurosci
Hormone research in pædiatrics,Horm Res Paediatr
Molecular oral microbiology,Mol Oral Microbiol
Fungal biology,Fungal Biol
Wiley interdisciplinary reviews. Cognitive science,Wiley Interdiscip Rev Cogn Sci
Cell death & disease,Cell Death Dis
Cytoskeleton,Cytoskeleton (Hoboken)
Ticks and tick-borne diseases,Ticks Tick Borne Dis
Cardiovascular intervention and therapeutics,Cardiovasc Interv Ther
Journal of diabetes investigation,J Diabetes Investig
mBio,mBio
Biomolecular concepts,Biomol Concepts
Journal of primary care & community health,J Prim Care Community Health
World journal for pediatric & congenital heart surgery,World J Pediatr Congenit Heart Surg
Nucleus,Nucleus
Cognitive neuroscience,Cogn Neurosci
Arthritis care & research,Arthritis Care Res (Hoboken)
AJOB neuroscience,AJOB Neurosci
Journal of developmental origins of health and disease,J Dev Orig Health Dis
Translational stroke research,Transl Stroke Res
Personality disorders,Personal Disord
Clinical epigenetics,Clin Epigenetics
Beneficial microbes,Benef Microbes
Cancer cytopathology,Cancer Cytopathol
Musculoskeletal surgery,Musculoskelet Surg
Gut microbes,Gut Microbes
Cirugia española,Cir Esp (Engl Ed)
Stem cell reviews and reports,Stem Cell Rev Rep
Frontiers in bioscience (Landmark edition),Front Biosci (Landmark Ed)
Sovremennye tekhnologii v medit︠s︡ine,Sovrem Tekhnologii Med
Currents in pharmacy teaching & learning,Curr Pharm Teach Learn
Genes,Genes (Basel)
Cardiac electrophysiology clinics,Card Electrophysiol Clin
Applied clinical informatics,Appl Clin Inform
Annual review of marine science,Ann Rev Mar Sci
Journal of injury & violence research,J Inj Violence Res
Current topics in behavioral neurosciences,Curr Top Behav Neurosci
Toxins,Toxins (Basel)
"Recent patents on food, nutrition & agriculture",Recent Pat Food Nutr Agric
Nanoscale,Nanoscale
Cold Spring Harbor protocols,Cold Spring Harb Protoc
Journal of primary health care,J Prim Health Care
The journal of international advanced otology,J Int Adv Otol
Biofabrication,Biofabrication
Journal of graduate medical education,J Grad Med Educ
Nutrients,Nutrients
Scandinavian journal of pain,Scand J Pain
African journal of primary health care & family medicine,Afr J Prim Health Care Fam Med
Analytical methods : advancing methods and applications,Anal Methods
Epigenomics,Epigenomics
Epidemiology and health,Epidemiol Health
Sports health,Sports Health
Cartilage,Cartilage
Database : the journal of biological databases and curation,Database (Oxford)
International health,Int Health
Journal of neurointerventional surgery,J Neurointerv Surg
Spatial and spatio-temporal epidemiology,Spat Spatiotemporal Epidemiol
Journal of environmental and public health,J Environ Public Health
"Interdisciplinary sciences, computational life sciences",Interdiscip Sci
Cold Spring Harbor perspectives in biology,Cold Spring Harb Perspect Biol
Bioanalysis,Bioanalysis
Alzheimer's research & therapy,Alzheimers Res Ther
Future medicinal chemistry,Future Med Chem
Hipertensión y riesgo vascular,Hipertens Riesgo Vasc
Pharmeuropa bio & scientific notes,Pharmeur Bio Sci Notes
Viruses,Viruses
Genome biology and evolution,Genome Biol Evol
Cancer epidemiology,Cancer Epidemiol
Methodist DeBakey cardiovascular journal,Methodist Debakey Cardiovasc J
Journal of studies on alcohol and drugs. Supplement,J Stud Alcohol Drugs Suppl
ASN neuro,ASN Neuro
Lower urinary tract symptoms,Low Urin Tract Symptoms
Topics in cognitive science,Top Cogn Sci
Asia-Pacific psychiatry : official journal of the Pacific Rim College of Psychiatrists,Asia Pac Psychiatry
Nepalese journal of ophthalmology : a biannual peer-reviewed academic journal of the Nepal Ophthalmic Society : NEPJOPH,Nepal J Ophthalmol
Clinics in orthopedic surgery,Clin Orthop Surg
Science translational medicine,Sci Transl Med
ACS applied materials & interfaces,ACS Appl Mater Interfaces
International journal of oral science,Int J Oral Sci
Journal of diabetes,J Diabetes
Journal of molecular cell biology,J Mol Cell Biol
Korean journal of medical education,Korean J Med Educ
Applied psychology. Health and well-being,Appl Psychol Health Well Being
Annals of physical and rehabilitation medicine,Ann Phys Rehabil Med
Korean journal of anesthesiology,Korean J Anesthesiol
Orthopaedic surgery,Orthop Surg
Nature reviews. Urology,Nat Rev Urol
Nature reviews. Nephrology,Nat Rev Nephrol
Nature reviews. Rheumatology,Nat Rev Rheumatol
Nature reviews. Gastroenterology & hepatology,Nat Rev Gastroenterol Hepatol
Nature reviews. Endocrinology,Nat Rev Endocrinol
Nature reviews. Clinical oncology,Nat Rev Clin Oncol
Nature reviews. Cardiology,Nat Rev Cardiol
Nature reviews. Neurology,Nat Rev Neurol
Nature chemistry,Nat Chem
Perspectives in public health,Perspect Public Health
Environmental microbiology reports,Environ Microbiol Rep
Academic pediatrics,Acad Pediatr
Global health promotion,Glob Health Promot
Journal of bronchology & interventional pulmonology,J Bronchology Interv Pulmonol
"Attention, perception & psychophysics",Atten Percept Psychophys
"Psychological trauma : theory, research, practice and policy",Psychol Trauma
Islets,Islets
"Orthopaedics & traumatology, surgery & research : OTSR",Orthop Traumatol Surg Res
Genetic testing and molecular biomarkers,Genet Test Mol Biomarkers
American journal on intellectual and developmental disabilities,Am J Intellect Dev Disabil
"PM & R : the journal of injury, function, and rehabilitation",PM R
American journal of rhinology & allergy,Am J Rhinol Allergy
Japanese journal of radiology,Jpn J Radiol
Journal of prosthodontic research,J Prosthodont Res
EMBO molecular medicine,EMBO Mol Med
Frontiers in bioscience (Scholar edition),Front Biosci (Schol Ed)
Frontiers in bioscience (Elite edition),Front Biosci (Elite Ed)
Immunotherapy,Immunotherapy
Epidemics,Epidemics
Probiotics and antimicrobial proteins,Probiotics Antimicrob Proteins
Journal of neurodevelopmental disorders,J Neurodev Disord
Food and environmental virology,Food Environ Virol
Drug testing and analysis,Drug Test  Anal
mAbs,MAbs
Integrative biology : quantitative biosciences from nano to macro,Integr Biol (Camb)
Metallomics : integrated biometal science,Metallomics
Arts & health,Arts Health
Genome medicine,Genome Med
Revista española de cirugía ortopédica y traumatología,Rev Esp Cir Ortop Traumatol (Engl Ed)
Revista de psiquiatria y salud mental,Rev Psiquiatr Salud Ment (Engl Ed)
Genetics research,Genet Res (Camb)
McGill journal of law and health : MJLH = Revue de droit et santé de McGill : RDSM,McGill J Law Health
"NASN school nurse","NASN Sch Nurse"
BMJ case reports,BMJ Case Rep
Medical ultrasonography,Med Ultrason
MD advisor : a journal for New Jersey medical community,MD Advis
Journal of clinical research in pediatric endocrinology,J Clin Res Pediatr Endocrinol
The Pan African medical journal,Pan Afr Med J
Asian journal of psychiatry,Asian J Psychiatr
Italian journal of pediatrics,Ital J Pediatr
Aging,Aging (Albany NY)
Annual review of analytical chemistry,Annu Rev Anal Chem (Palo Alto Calif)
Wiley interdisciplinary reviews. Nanomedicine and nanobiotechnology,Wiley Interdiscip Rev Nanomed Nanobiotechnol
Biopreservation and biobanking,Biopreserv Biobank
Asian journal of endoscopic surgery,Asian J Endosc Surg
Biodemography and social biology,Biodemography Soc Biol
Circulation. Cardiovascular interventions,Circ Cardiovasc Interv
Progress in molecular biology and translational science,Prog Mol Biol Transl Sci
Journal of evidence-based medicine,J Evid Based Med
Advances in protein chemistry and structural biology,Adv Protein Chem Struct Biol
Global health action,Glob Health Action
IEEE reviews in biomedical engineering,IEEE Rev Biomed Eng
Surgical pathology clinics,Surg Pathol Clin
IEEE transactions on haptics,IEEE Trans Haptics
Journal of pediatric rehabilitation medicine,J Pediatr Rehabil Med
Journal of acupuncture and meridian studies,J Acupunct Meridian Stud
The American journal of case reports,Am J Case Rep
Circulation. Cardiovascular quality and outcomes,Circ Cardiovasc Qual Outcomes
Journal of Korean Academy of Nursing,J Korean Acad Nurs
Journal of infection and public health,J Infect Public Health
Acta ophthalmologica. Supplement,Acta Ophthalmol Suppl (Oxf )
Expert review of hematology,Expert Rev Hematol
"Food additives & contaminants. Part A, Chemistry, analysis, control, exposure & risk assessment",Food Addit Contam Part A Chem Anal Control Expo Risk Assess
Pediatrics and neonatology,Pediatr Neonatol
"Materials science & engineering. C, Materials for biological applications",Mater Sci Eng C Mater Biol Appl
Disease models & mechanisms,Dis Model Mech
Journal of gynecologic oncology,J Gynecol Oncol
Journal of optometry,J Optom
Population health management,Popul Health Manag
Genes & genomics,Genes Genomics
Circulation. Heart failure,Circ Heart Fail
Circulation. Cardiovascular imaging,Circ Cardiovasc Imaging
Oxidative medicine and cellular longevity,Oxid Med Cell Longev
Journal of otolaryngology - head & neck surgery = Le Journal d'oto-rhino-laryngologie et de chirurgie cervico-faciale,J Otolaryngol Head Neck Surg
National health statistics reports,Natl Health Stat Report
Cancer prevention research,Cancer Prev Res (Phila)
Journal of medicine and life,J Med Life
"Zeitschrift für Evidenz, Fortbildung und Qualität im Gesundheitswesen",Z Evid Fortbild Qual Gesundhwes
"Scandinavian journal of trauma, resuscitation and emergency medicine",Scand J Trauma Resusc Emerg Med
Clinical journal of gastroenterology,Clin J Gastroenterol
International review of cell and molecular biology,Int Rev Cell Mol Biol
Molecular medicine reports,Mol Med Rep
Marine genomics,Mar Genomics
Journal of aerosol medicine and pulmonary drug delivery,J Aerosol Med Pulm Drug Deliv
Journal of proteomics,J Proteomics
Informatics for health & social care,Inform Health Soc Care
International journal of rheumatic diseases,Int J Rheum Dis
Journal of ovarian research,J Ovarian Res
Circulation. Arrhythmia and electrophysiology,Circ Arrhythm Electrophysiol
Public health genomics,Public Health Genomics
Clinical and translational science,Clin Transl Sci
Foot & ankle specialist,Foot Ankle Spec
Current aging science,Curr Aging Sci
CNS neuroscience & therapeutics,CNS Neurosci Ther
International emergency nursing,Int Emerg Nurs
Epigenetics & chromatin,Epigenetics Chromatin
Journal of foot and ankle research,J Foot Ankle Res
Pharmaceutical medicine,Pharmaceut Med
Annual review of biophysics,Annu Rev Biophys
Journal of medical imaging and radiation sciences,J Med Imaging Radiat Sci
Innate immunity,Innate Immun
Journal of innate immunity,J Innate Immun
Obesity facts,Obes Facts
Journal of medical imaging and radiation oncology,J Med Imaging Radiat Oncol
Journal of hematology & oncology,J Hematol Oncol
Molecular brain,Mol Brain
Current radiopharmaceuticals,Curr Radiopharm
Journal of cardiovascular translational research,J Cardiovasc Transl Res
Hematology/oncology and stem cell therapy,Hematol Oncol Stem Cell Ther
Journal of neonatal-perinatal medicine,J Neonatal Perinatal Med
Acta ophthalmologica,Acta Ophthalmol
Current molecular pharmacology,Curr Mol Pharmacol
Radiological physics and technology,Radiol Phys Technol
JACC. Cardiovascular imaging,JACC Cardiovasc Imaging
JACC. Cardiovascular interventions,JACC Cardiovasc Interv
"Tissue engineering. Part C, Methods",Tissue Eng Part C Methods
"Tissue engineering. Part B, Reviews",Tissue Eng Part B Rev
Tissue engineering. Part A,Tissue Eng Part A
Brain stimulation,Brain Stimul
European journal of physical and rehabilitation medicine,Eur J Phys Rehabil Med
Archives of cardiovascular diseases,Arch Cardiovasc Dis
Molecular ecology resources,Mol Ecol Resour
Topics in companion animal medicine,Top Companion Anim Med
Molecular plant,Mol Plant
Science signaling,Sci Signal
New biotechnology,N Biotechnol
BMB reports,BMB Rep
Systems biology in reproductive medicine,Syst Biol Reprod Med
Journal of neurosurgery. Pediatrics,J Neurosurg Pediatr
Parasites & vectors,Parasit Vectors
BMC research notes,BMC Res Notes
Autism research : official journal of the International Society for Autism Research,Autism Res
Research in gerontological nursing,Res Gerontol Nurs
Journal of the mechanical behavior of biomedical materials,J Mech Behav Biomed Mater
International journal of speech-language pathology,Int J Speech Lang Pathol
Canadian review of sociology = Revue canadienne de sociologie,Can Rev Sociol
Oral and maxillofacial surgery,Oral Maxillofac Surg
Cardiovascular therapeutics,Cardiovasc Ther
BMC medical genomics,BMC Med Genomics
Transboundary and emerging diseases,Transbound Emerg Dis
ChemSusChem,ChemSusChem
Pigment cell & melanoma research,Pigment Cell Melanoma Res
Journal of biophotonics,J Biophotonics
"Food additives & contaminants. Part B, Surveillance",Food Addit Contam Part B Surveill
The patient,Patient
Disability and health journal,Disabil Health J
Mucosal immunology,Mucosal Immunol
The plant genome,Plant Genome
Actas dermo-sifiliográficas,Actas Dermosifiliogr (Engl Ed)
Annual International Conference of the IEEE Engineering in Medicine and Biology Society,Annu Int Conf IEEE Eng Med Biol Soc
